0,1041,601101,1,MALE
1,4053,601104,1,MALE
2,7020,601129,1,MALE
3,15005,601104,0,MALE
4,11024,601114,1,MALE
5,1062,601138,1,MALE
6,15025,600001,1,MALE
7,17003,601101,0,MALE
8,1624,601143,1,MALE
9,1776,601125,1,MALE
10,2114,601152,1,MALE
11,101089,602102,1,MALE
12,101219,602115,1,MALE
13,101244,602001,1,MALE
14,101218,602116,1,MALE
15,101104,602113,1,MALE
16,101240,602106,1,MALE
17,GD0320,601129,0,MALE
18,GD0326,601130,1,MALE
19,GS0090,601106,1,MALE
20,GS0096,601107,1,MALE
21,GD0332,601131,1,MALE
22,GS0102,601108,1,MALE
23,GD0338,601131,0,MALE
24,GS0108,601108,0,MALE
25,GD0344,602001,0,MALE
26,GS0114,601109,1,MALE
27,GD0350,602001,0,MALE
28,GD0356,602101,1,MALE
29,GS0120,601109,0,MALE
30,GD0472,602101,0,MALE
31,ED0050,688007,1,MALE
32,GD0478,602101,0,MALE
33,GS0005,600001,0,MALE
34,GD0364,602102,0,MALE
35,GS0011,601001,1,MALE
36,GD0370,602102,0,MALE
37,GS0017,601001,0,MALE
38,GD0376,602103,1,MALE
39,GS0023,601101,0,MALE
40,GD0382,602104,1,MALE
41,GS0029,601101,0,MALE
42,GD0388,602104,0,MALE
43,GD0394,602105,1,MALE
44,GD0400,602105,0,MALE
45,GS0035,601102,1,MALE
46,GD0406,602106,0,MALE
47,GS0041,601103,1,MALE
48,GS0047,601103,0,MALE
49,GD0412,602107,1,MALE
50,GS0053,601104,0,MALE
51,GS0059,601104,0,MALE
52,GS0075,601105,1,MALE
53,GD0418,602107,0,MALE
54,GS0080,601105,0,MALE
55,GD0371,602103,0,MALE
56,GD0217,601119,1,MALE
57,GD0223,601120,1,MALE
58,GD0377,602103,0,MALE
59,GD0229,601120,0,MALE
60,GD0383,602104,0,MALE
61,GD0011,601001,0,MALE
62,GD0389,602104,0,MALE
63,GD0017,601001,0,MALE
64,GD0395,602105,0,MALE
65,GD0023,601101,0,MALE
66,GD0401,602106,0,MALE
67,GD0029,601101,0,MALE
68,GD0407,602106,0,MALE
69,GD0455,601101,0,MALE
70,GD0413,602107,0,MALE
71,GD0461,601101,0,MALE
72,GD0419,602107,0,MALE
73,GD0467,601101,0,MALE
74,GD0033,601102,0,MALE
75,GD0425,603001,1,MALE
76,GD0039,601102,0,MALE
77,GD0431,603101,1,MALE
78,GD0045,601103,0,MALE
79,GD0437,603101,0,MALE
80,GD0051,601104,0,MALE
81,GD0483,603101,0,MALE
